symbol,zone_source,zone_class,direction,pattern,zone_low,zone_high,zone_strength,confluent,confluent_hourly_pattern,has_divergence,has_htf_momentum,passes_body_filter,passes_gap_filter,touch_number,entry_ts,entry_price,reaction_pattern,reaction_rsi,reaction_vol_ratio,exit_ts,exit_price,exit_reason,gross_pnl_pct,pnl_pct,hold_bars
ASTRAL,5m,continuation,short,DBD,1569.5,1570.1,34.31,False,,False,False,True,True,1,2026-06-23 03:45:00+00:00,1568.2,engulfing,67.4,2.76,2026-06-23 03:50:00+00:00,1573.24,stop_loss,-0.321,-0.622,1
ASTRAL,5m,continuation,long,RBR,1527.3,1528.4,7.22,False,,True,False,True,True,1,2026-08-27 05:55:00+00:00,1526.7,pin_bar,33.5,2.06,2026-08-27 06:30:00+00:00,1528.3,trailing_stop,0.105,-0.195,7
ASTRAL,1h,continuation,long,RBR,1307.0,1312.449951171875,3.08,False,,False,True,True,False,1,2026-07-09 09:50:00+00:00,1313.1,pin_bar,28.4,1.5,2026-07-10 03:50:00+00:00,1319.05,trailing_stop,0.453,0.153,3
ASTRAL,1h,continuation,long,RBR,1335.0999755859375,1339.9000244140625,10.33,False,,True,True,True,False,1,2026-06-29 05:55:00+00:00,1350.0,engulfing,23.3,2.3,2026-06-29 08:50:00+00:00,1385.14,take_profit,2.603,2.352,35
ASTRAL,1h,continuation,long,RBR,1342.4000244140625,1347.699951171875,3.73,False,,True,True,True,False,1,2026-06-29 05:55:00+00:00,1350.0,engulfing,23.3,2.3,2026-06-29 06:40:00+00:00,1356.5,trailing_stop,0.481,0.181,9
ASTRAL,1h,continuation,long,RBR,1311.4000244140625,1315.0999755859375,3.44,False,,False,True,True,False,1,2026-07-09 09:50:00+00:00,1313.1,pin_bar,28.4,1.5,2026-07-10 03:45:00+00:00,1321.75,take_profit,0.658,0.408,2
ASTRAL,1h,continuation,long,RBR,1392.0,1398.0,11.22,False,,False,True,True,False,1,2026-06-29 03:45:00+00:00,1401.7,engulfing,7.1,2.99,2026-06-29 04:00:00+00:00,1389.22,stop_loss,-0.891,-1.19,3
ASTRAL,1h,continuation,long,RBR,1389.4000244140625,1390.9000244140625,11.31,False,,False,True,True,False,1,2026-06-29 03:45:00+00:00,1401.7,engulfing,7.1,2.99,2026-06-29 04:05:00+00:00,1386.62,stop_loss,-1.076,-1.375,4
ASTRAL,1h,reversal,long,DBR,1343.5999755859375,1349.0,7.49,False,,True,True,True,False,1,2026-06-29 05:55:00+00:00,1350.0,engulfing,23.3,2.3,2026-06-29 06:10:00+00:00,1354.75,trailing_stop,0.352,0.052,3
ASTRAL,1h,continuation,short,DBD,1492.9000244140625,1498.0,41.77,False,,False,True,True,False,1,2026-07-30 03:45:00+00:00,1487.2,pin_bar,71.0,1.57,2026-07-31 03:45:00+00:00,1459.61,take_profit,1.855,1.606,75
ASTRAL,1h,continuation,short,DBD,1433.9000244140625,1437.0,5.89,False,,False,False,True,False,1,2026-08-12 04:30:00+00:00,1434.1,pin_bar,65.9,1.42,2026-08-12 04:40:00+00:00,1430.75,trailing_stop,0.234,-0.066,2
AUBANK,5m,continuation,long,RBR,950.7,951.95,11.54,False,,False,False,True,True,1,2026-06-11 03:45:00+00:00,957.25,engulfing,24.9,1.56,2026-06-11 05:20:00+00:00,963.5,trailing_stop,0.653,0.352,19
AUBANK,1h,continuation,long,RBR,888.25,890.2000122070312,12.33,False,,True,True,True,False,1,2026-03-13 08:10:00+00:00,888.4,pin_bar,34.9,2.09,2026-03-13 08:25:00+00:00,886.47,stop_loss,-0.217,-0.517,3
AUBANK,1h,reversal,short,RBD,998.0,1001.3499755859375,14.01,False,,False,False,True,False,1,2026-04-15 03:45:00+00:00,996.3,pin_bar,84.0,2.36,2026-04-15 04:00:00+00:00,992.42,trailing_stop,0.389,0.089,3
AUBANK,1h,reversal,short,RBD,1007.3499755859375,1009.7999877929688,17.34,False,,False,True,True,False,1,2026-04-20 03:55:00+00:00,1005.6,pin_bar,82.6,1.43,2026-04-20 08:50:00+00:00,1000.53,trailing_stop,0.505,0.205,59
AUBANK,1h,reversal,short,RBD,1003.4000244140625,1007.0,7.84,False,,False,True,True,False,1,2026-05-25 05:40:00+00:00,1003.2,engulfing,65.4,1.79,2026-05-25 09:05:00+00:00,999.9,trailing_stop,0.329,0.029,41
AUBANK,1h,continuation,short,DBD,1058.800048828125,1062.199951171875,4.57,False,,False,False,True,False,1,2026-08-06 04:00:00+00:00,1055.2,pin_bar,76.5,4.07,2026-08-06 04:25:00+00:00,1064.32,stop_loss,-0.865,-1.165,5
AUBANK,1h,continuation,short,DBD,1067.0,1068.0,5.68,False,,True,False,True,False,1,2026-08-11 07:10:00+00:00,1065.9,engulfing,67.4,4.7,2026-08-11 08:00:00+00:00,1063.35,trailing_stop,0.239,-0.061,10
AUROPHARMA,5m,continuation,long,RBR,1486.0,1487.3,5.95,False,,False,False,True,True,1,2026-05-22 03:45:00+00:00,1493.2,engulfing,15.0,4.12,2026-05-22 03:55:00+00:00,1498.35,trailing_stop,0.345,0.045,2
AUROPHARMA,5m,continuation,long,RBR,1485.0,1486.9,10.32,False,,False,False,True,True,1,2026-05-22 03:45:00+00:00,1493.2,engulfing,15.0,4.12,2026-05-22 03:55:00+00:00,1482.03,stop_loss,-0.748,-1.047,2
AUROPHARMA,1h,continuation,short,DBD,1543.9000244140625,1548.199951171875,7.55,False,,False,False,True,False,1,2026-05-21 07:10:00+00:00,1544.5,pin_bar,65.8,1.84,2026-05-22 03:45:00+00:00,1530.91,take_profit,0.88,0.63,34
